forecast_origin_timestamp_utc,row_count,pred_HGB_G4_calendar_load_lags_rollups_weather_proxy_MAE,pred_MLP_G4_calendar_load_lags_rollups_weather_proxy_MAE
2025-06-01T00:00:00Z,168,144.2794752384199,83.2378116269682
2025-06-08T00:00:00Z,168,132.28083040521074,96.23388473339156
2025-06-15T00:00:00Z,168,72.74108634900944,86.77122371978119
2025-06-22T00:00:00Z,168,132.3175395891568,172.81235979910957
2025-06-29T00:00:00Z,168,62.58424712508955,92.05408791272178
2025-07-06T00:00:00Z,168,48.17370767473695,52.655091719869496
2025-07-13T00:00:00Z,168,49.733453630874365,45.12445678566631
2025-07-20T00:00:00Z,168,51.70052132862494,56.418041777416754
2025-07-27T00:00:00Z,168,55.62072001106916,55.96462972797219
2025-08-03T00:00:00Z,168,84.21474498183026,87.54460524491661
2025-08-10T00:00:00Z,168,74.73775289490581,105.26328641783606
2025-08-17T00:00:00Z,168,97.82632994387515,154.3011422768628
2025-08-24T00:00:00Z,168,75.36281919849611,93.1649840204456
2025-08-31T00:00:00Z,168,60.34995461227815,68.08025957920871
2025-09-07T00:00:00Z,168,50.66327178155221,40.62019464912923
2025-09-14T00:00:00Z,168,50.75445745102451,48.021987138925546
2025-09-21T00:00:00Z,168,166.36335334143973,153.4128243456582
2025-09-28T00:00:00Z,168,82.3704898427635,77.09963129754017
2025-10-05T00:00:00Z,168,73.7678871497122,62.753264552903666
2025-10-12T00:00:00Z,168,195.35966981982273,111.11746182839394
2025-10-19T00:00:00Z,168,90.32829059731661,117.67134245358652
2025-10-26T00:00:00Z,168,139.92992582687853,101.26152557408753
2025-11-02T00:00:00Z,168,95.52458087288554,228.2913235914792
2025-11-09T00:00:00Z,168,209.72742370478963,140.33326004952082
2025-11-16T00:00:00Z,168,227.9446412488059,268.188540163345
2025-11-23T00:00:00Z,168,166.25975664551845,185.11101062279818
2025-11-30T00:00:00Z,168,118.48769243225193,123.07731887860263
2025-12-07T00:00:00Z,168,100.20226277074222,194.29571795624022
2025-12-14T00:00:00Z,168,91.42681266263129,196.51378252535446
2025-12-21T00:00:00Z,168,243.8920853593701,203.338087335279
2025-12-28T00:00:00Z,168,171.23245953866407,170.4876674951774
2026-01-04T00:00:00Z,168,166.4625113264278,112.29410566801633
2026-01-11T00:00:00Z,168,267.55557248432206,200.24517410582726
2026-01-18T00:00:00Z,168,200.319631781436,87.93155064960969
2026-01-25T00:00:00Z,168,360.06969653888916,304.2751929287864
2026-02-01T00:00:00Z,168,331.1094530915454,340.27942678858466
2026-02-08T00:00:00Z,168,356.40115488446725,414.9616687250626
2026-02-15T00:00:00Z,168,333.16920879773943,370.5635959688437
2026-02-22T00:00:00Z,168,173.6685859242045,176.09051783900097
2026-03-01T00:00:00Z,168,94.19095970811952,118.26615534236606
2026-03-08T00:00:00Z,168,96.79150048591823,147.16226964461208
2026-03-15T00:00:00Z,168,103.89724667894573,142.91934824703577
2026-03-22T00:00:00Z,168,193.21132066887864,88.82521737142608
2026-03-29T00:00:00Z,168,100.96254991271164,113.99395798345701
2026-04-05T00:00:00Z,168,184.05686569223735,147.32778436083998
2026-04-12T00:00:00Z,168,86.42569871535984,129.53694690541832
2026-04-19T00:00:00Z,168,97.71264959845017,117.70363647940071
2026-04-26T00:00:00Z,168,129.9882980961857,130.8980030604168
2026-05-03T00:00:00Z,168,207.14088978806944,80.95069863596908
2026-05-10T00:00:00Z,168,212.56358083352734,125.50394070351851
2026-05-17T00:00:00Z,168,79.92787912037936,53.51408064423255
