forecast_origin_timestamp_utc,row_count,pred_ExtraTrees_G4_calendar_load_lags_rollups_weather_proxy_MAE,pred_LightGBM_G4_calendar_load_lags_rollups_weather_proxy_MAE,pred_XGBoost_G4_calendar_load_lags_rollups_weather_proxy_MAE
2025-06-01T00:00:00Z,168,9.91031658987022,11.463514417101559,10.24957483662341
2025-06-08T00:00:00Z,168,15.32230050447802,13.217806757932175,14.6703344707845
2025-06-15T00:00:00Z,168,14.633026872557759,16.30289633693024,16.15597236530413
2025-06-22T00:00:00Z,168,12.378093224288136,10.791475537903978,9.622883970482231
2025-06-29T00:00:00Z,168,13.08145970344655,13.292800629130577,13.488268728934164
2025-07-06T00:00:00Z,168,11.418505764484106,10.035346262554379,11.207581230747767
2025-07-13T00:00:00Z,168,8.936873753354371,7.4147401778612,8.006539598388674
2025-07-20T00:00:00Z,168,10.76527965844503,9.720814027722422,9.63576291234189
2025-07-27T00:00:00Z,168,9.735673270693868,8.766969740103386,9.062269871070505
2025-08-03T00:00:00Z,168,15.17048976365514,13.344566161675754,13.664805138102215
2025-08-10T00:00:00Z,168,11.28819812847499,10.56170377351379,11.530601492652522
2025-08-17T00:00:00Z,168,11.431209931827043,10.074496658498772,11.245764734258747
2025-08-24T00:00:00Z,168,9.750860273837233,8.991368649168054,10.558798332624162
2025-08-31T00:00:00Z,168,11.37829513360988,10.900440171796738,11.393023192382808
2025-09-07T00:00:00Z,168,9.525015049500174,9.544411737401239,9.671882043329148
2025-09-14T00:00:00Z,168,8.749844310705972,7.7564838212375,8.292915340146013
2025-09-21T00:00:00Z,168,14.555991451564042,12.672124848565678,13.051827519019723
2025-09-28T00:00:00Z,168,18.647943001150505,16.624541590173425,20.020227195649657
2025-10-05T00:00:00Z,168,13.115613459018185,15.232955665358526,14.448305194731223
2025-10-12T00:00:00Z,168,13.034264340046134,11.10081459528752,14.134191648960657
2025-10-19T00:00:00Z,168,14.766258842323877,17.176713852956443,20.38090413155691
2025-10-26T00:00:00Z,168,23.092275432536333,19.093944342860475,19.127979200358066
2025-11-02T00:00:00Z,168,17.761455871405772,15.466847268513908,14.659335774414068
2025-11-09T00:00:00Z,168,22.11959666312646,26.38985174599872,31.40306884305246
2025-11-16T00:00:00Z,168,30.425277221068704,31.69274799253867,26.849973182082415
2025-11-23T00:00:00Z,168,24.199877045708693,22.707231978128448,19.885627358909968
2025-11-30T00:00:00Z,168,14.551137541091485,13.303551722258849,16.443144881510428
2025-12-07T00:00:00Z,168,16.743587762964424,15.728806684457137,14.560708768089663
2025-12-14T00:00:00Z,168,15.791972350803572,15.91029808397478,14.290841061709452
2025-12-21T00:00:00Z,168,20.84645438799894,22.793042799671305,22.67154418840681
2025-12-28T00:00:00Z,168,30.122908205697417,28.531835261089473,30.295613909737714
2026-01-04T00:00:00Z,168,28.44742435050615,19.43152863692173,21.285298421572737
2026-01-11T00:00:00Z,168,36.55642334640157,34.56747285070758,34.27298636683874
2026-01-18T00:00:00Z,168,28.686620811635922,29.761483215965583,19.031977584193637
2026-01-25T00:00:00Z,168,31.577861997663852,28.416017717635025,21.709135843540736
2026-02-01T00:00:00Z,168,41.94205736787403,36.32090059832073,29.390343454845617
2026-02-08T00:00:00Z,168,33.872955087820515,20.712996680672006,22.328012558384483
2026-02-15T00:00:00Z,168,37.81857973713949,38.60690599828316,46.411047432128925
2026-02-22T00:00:00Z,168,29.792776821737398,33.11870029603921,31.87633233265906
2026-03-01T00:00:00Z,168,22.446654147892982,19.15357962644676,18.317572420131146
2026-03-08T00:00:00Z,168,23.190934744611358,26.514878778781085,23.16445019033668
2026-03-15T00:00:00Z,168,23.072287500559323,25.483691968118006,26.07665682793898
2026-03-22T00:00:00Z,168,22.570696706415255,20.48891623680752,21.90942115671503
2026-03-29T00:00:00Z,168,20.240092997969864,17.212762185404035,17.198569852143788
2026-04-05T00:00:00Z,168,28.3141441902874,24.18324224796535,27.75080722058686
2026-04-12T00:00:00Z,168,19.623916808986888,18.110181315865066,17.65246639634487
2026-04-19T00:00:00Z,168,23.992109844241742,24.900836972210993,22.55847934617978
2026-04-26T00:00:00Z,168,14.621683863508313,14.16128691923636,12.645066719040647
2026-05-03T00:00:00Z,168,10.924857281777676,12.456749186886652,12.565818785935178
2026-05-10T00:00:00Z,168,38.56141683879107,30.05188346669309,23.95131630106027
2026-05-17T00:00:00Z,168,10.35848608065838,11.826545769624678,10.03098064769345
