component_id,component_type,status,modeling_rows,train_fit_rows,holdout_rows,mean_actual_mw,total_mwh
C11,profiled_load_profile_cluster,full_model,33804,20534,13270,254.48655156990435,5532939.367744012
C12,profiled_load_profile_cluster,full_model,33804,20534,13270,109.80938173887711,2439114.5559000177
C13,profiled_load_profile_cluster,full_model,33804,20534,13270,5.371069157141171,117887.072674
C14,profiled_load_profile_cluster,zero_forecast,33804,20534,13270,0.0,0.0
C21,profiled_load_profile_cluster,full_model,33804,20534,13270,111.79865907111665,2447452.9972340073
C22,profiled_load_profile_cluster,full_model,33804,20534,13270,120.03709390326497,2667301.7079529776
C23,profiled_load_profile_cluster,zero_forecast,33804,20534,13270,0.0,0.0
C24,profiled_load_profile_cluster,zero_forecast,33804,20534,13270,0.0,0.0
C31,profiled_load_profile_cluster,full_model,33804,20534,13270,81.15414438042818,1827535.4853549963
C32,profiled_load_profile_cluster,full_model,33804,20534,13270,99.54862178437439,2239870.969913009
C33,profiled_load_profile_cluster,full_model,33804,20534,13270,21.591206136551925,478484.9050890023
C34,profiled_load_profile_cluster,zero_forecast,33804,20534,13270,0.0,0.0
C41,profiled_load_profile_cluster,zero_forecast,33804,20534,13270,0.0,0.0
C42,profiled_load_profile_cluster,full_model,33804,20534,13270,1221.7521659029835,27311441.401040815
C43,profiled_load_profile_cluster,full_model,33804,20534,13270,361.7972283416749,7982322.327244951
C44,profiled_load_profile_cluster,full_model,33804,20534,13270,12.769930117500948,282498.9806979995
forecast_direct_se3_best,direct_se3_total,full_model,52173,38985,13188,9624.686050894778,
forecast_residual_metered_non_profiled,metered_non_profiled_residual_calculated,full_model,33582,20394,13188,7533.033105711999,169459633.85615557
