component_id,monthly_share_start,monthly_share_end,monthly_share_slope,number_of_direction_reversals,max_backtrack,monotonicity_score,is_one_way_readable
C11,0.02145390696969697,0.018230405755095044,-0.0001130815861939554,9,0.005972735347807272,0.625,False
C12,0.01066850404040404,0.004415009303236028,-0.00015585968660691097,5,0.0023510076863907416,0.6875,False
C13,0.0006456935353535354,4.8664420772615705e-05,-1.9710572602117474e-05,13,9.975957913541827e-05,0.625,False
C14,0.0,0.0,0.0,0,0.0,1.0,True
C21,0.015576914343434344,0.0008850181739114944,-0.0004759582778611064,11,0.0015188929639917484,0.6875,False
C22,0.013045649393939393,0.00699392170700007,-6.995016826061045e-05,9,0.0018086111235061392,0.46875,False
C23,0.0,0.0,0.0,0,0.0,1.0,True
C24,0.0,0.0,0.0,0,0.0,1.0,True
C31,0.008729201515151516,0.0,-6.197731964187812e-05,8,0.00209824797298184,0.5,False
C32,0.011688966363636364,0.005085316323406898,-8.395255457786171e-05,9,0.0019851063573300912,0.59375,False
C33,0.002268620606060606,0.0013663004894016208,-1.2132799392451106e-05,9,0.00024614815205098233,0.5625,False
C34,0.0,0.0,0.0,0,0.0,1.0,True
C41,0.0,0.0,0.0,0,0.0,1.0,True
C42,0.13718212797979798,0.0492849691320465,-0.0015722278321091134,9,0.019791080161185887,0.5625,False
C43,0.03658413707070707,0.01715300571557671,-0.00045322584805669347,9,0.00500980113887612,0.625,False
C44,0.0011937244444444443,0.0008728906118300096,-6.3551997348968e-06,13,0.00019717172966836555,0.5625,False
forecast_residual_metered_non_profiled,0.7409625537373737,0.8956644983677226,0.0030244318450375874,11,0.03330326484037871,0.59375,False
profiled_total,0.25903744626262626,0.10433550163227698,-0.003024431845037595,11,0.03330326484037807,0.59375,False
residual,0.7409625537373737,0.8956644983677226,0.0030244318450375874,11,0.03330326484037871,0.59375,False
