area_code,row_count,min_timestamp_utc,max_timestamp_utc,mean_temperature,winter_mean_temperature,summer_mean_temperature,snow_depth_null_rows,fallback_rows,coverage_ratio,missing_hour_count,p05_temperature,p95_temperature
DE_LU,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,9.613420512235468,2.053823868882733,17.234810914855075,35062,35062,1.0,0,-1.465,20.374749999999985
DK1,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,9.578050168273343,1.9960462834718373,17.204527287137683,35062,35062,1.0,0,-1.5150000000000001,20.334749999999985
DK2,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,9.79170269807769,2.3488665743305637,17.34079936594203,35062,0,1.0,0,-1.14,20.480000000000004
EE,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,7.276448148993213,-2.3906209602954753,17.312892323369564,35062,35062,1.0,0,-6.859999999999999,20.439999999999998
FI,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,6.030882722035252,-4.496067059095107,17.010943727355073,35062,0,1.0,0,-9.305,20.345
LT,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,8.769801779704522,0.46796860572483834,17.335012454710142,35062,35062,1.0,0,-3.25,20.19
LV,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,8.403528036050425,-0.23060018467220675,17.337423007246375,35062,35062,1.0,0,-4.06,20.18
NL,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,9.578050168273343,1.9960462834718373,17.204527287137683,35062,35062,1.0,0,-1.5150000000000001,20.334749999999985
NO1,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,7.40845930066739,-2.4104963065558636,16.601370018115944,35062,0,1.0,0,-7.16,19.939999999999998
NO2,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,7.827306628258514,-0.20240766389658352,15.46508944746377,35062,0,1.0,0,-4.57,18.485000000000003
NO3,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,6.178653813245109,-2.690293167128347,14.663543931159422,35062,0,1.0,0,-7.94,18.759999999999998
NO4,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,3.6270623467001313,-5.543115766389659,13.914054008152174,35062,0,1.0,0,-10.745,17.880000000000003
NO5,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,7.550194655182248,-0.27176823638042474,14.951432291666665,35062,0,1.0,0,-4.7,18.05
PL,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,9.40580200787177,1.865444367497692,17.282874773550727,35062,35062,1.0,0,-1.4100000000000004,20.120000000000005
SE1,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,3.3081427756545554,-7.2795423591874435,14.832668138586959,35062,0,1.0,0,-12.589900000000002,17.999899999999997
SE2,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,4.960963441902915,-5.036652152585412,15.62627102581522,35062,0,1.0,0,-9.702965,18.606337500000002
SE3,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,8.030487536364156,-0.8712846260387812,17.100104959239133,35062,0,1.0,0,-5.070850000000001,20.288999999999998
SE4,35062,2022-06-01T00:00Z,2026-05-31T21:00Z,9.58750167222958,2.0510726987410646,17.265621380286518,35062,0,1.0,0,-1.4278772378516624,20.42702046035805
