area_code,variant_id,phase,status,timestamp,elapsed_seconds,job,rows,feature_count,fit_status,dayahead_rows,full36_rows
SE1,V0,train,done,2026-06-08T05:53:45Z,35.0,1/18,51894,50,completed,,
SE1,V0,test,done,2026-06-08T05:53:59Z,14.0,1/18,,,,8184,12024
SE1,V1,train,done,2026-06-08T05:54:35Z,36.0,2/18,51894,50,completed,,
SE1,V1,test,done,2026-06-08T05:54:48Z,13.0,2/18,,,,8184,12024
SE1,V2,train,done,2026-06-08T05:55:24Z,36.0,3/18,51894,50,completed,,
SE1,V2,test,done,2026-06-08T05:55:37Z,13.0,3/18,,,,8184,12024
SE1,V3,train,done,2026-06-08T05:55:43Z,6.0,4/18,51894,50,completed,,
SE1,V3,test,done,2026-06-08T05:55:57Z,14.0,4/18,,,,8184,12024
SE1,V4,train,done,2026-06-08T05:56:01Z,4.0,5/18,51894,50,completed,,
SE1,V4,test,done,2026-06-08T05:56:14Z,13.0,5/18,,,,8184,12024
SE1,V5,train,done,2026-06-08T05:56:17Z,3.0,6/18,51894,50,completed,,
SE1,V5,test,done,2026-06-08T05:56:31Z,14.0,6/18,,,,8184,12024
SE1,V6,train,done,2026-06-08T05:57:01Z,30.0,7/18,51894,39,completed,,
SE1,V6,test,done,2026-06-08T05:57:15Z,14.0,7/18,,,,8184,12024
SE1,V7,train,done,2026-06-08T05:57:50Z,35.0,8/18,51894,50,completed,,
SE1,V7,test,done,2026-06-08T05:58:04Z,14.0,8/18,,,,8184,12024
SE1,V8,train,done,2026-06-08T05:58:39Z,35.0,9/18,51894,50,completed,,
SE1,V8,test,done,2026-06-08T05:58:53Z,14.0,9/18,,,,8184,12024
SE2,V0,train,done,2026-06-08T05:59:33Z,35.0,10/18,51795,50,completed,,
SE2,V0,test,done,2026-06-08T05:59:47Z,14.0,10/18,,,,8184,12096
SE2,V1,train,done,2026-06-08T06:00:23Z,36.0,11/18,51795,50,completed,,
SE2,V1,test,done,2026-06-08T06:00:36Z,13.0,11/18,,,,8184,12096
SE2,V2,train,done,2026-06-08T06:01:12Z,36.0,12/18,51795,50,completed,,
SE2,V2,test,done,2026-06-08T06:01:26Z,14.0,12/18,,,,8184,12096
SE2,V3,train,done,2026-06-08T06:01:32Z,6.0,13/18,51795,50,completed,,
SE2,V3,test,done,2026-06-08T06:01:45Z,13.0,13/18,,,,8184,12096
SE2,V4,train,done,2026-06-08T06:01:49Z,4.0,14/18,51795,50,completed,,
SE2,V4,test,done,2026-06-08T06:02:03Z,14.0,14/18,,,,8184,12096
SE2,V5,train,done,2026-06-08T06:02:06Z,3.0,15/18,51795,50,completed,,
SE2,V5,test,done,2026-06-08T06:02:19Z,13.0,15/18,,,,8184,12096
SE2,V6,train,done,2026-06-08T06:02:50Z,31.0,16/18,51795,39,completed,,
SE2,V6,test,done,2026-06-08T06:03:03Z,13.0,16/18,,,,8184,12096
SE2,V7,train,done,2026-06-08T06:03:39Z,36.0,17/18,51795,50,completed,,
SE2,V7,test,done,2026-06-08T06:03:53Z,14.0,17/18,,,,8184,12096
SE2,V8,train,done,2026-06-08T06:04:29Z,36.0,18/18,51795,50,completed,,
SE2,V8,test,done,2026-06-08T06:04:42Z,13.0,18/18,,,,8184,12096
