area_code,weather_stack_id,weather_feature_count,DayAhead_hourly_MAE,delta_MAE_vs_previous_stack,delta_MAE_percent_vs_previous_stack,delta_MAE_vs_W0,delta_MAE_vs_current_best,marginal_gain_per_added_feature
SE1,W0,0,131.17758903232644,,,0.0,5.958056038901219,
SE1,W1,1,127.49562071979803,-3.6819683125284115,-2.8068577412419544,-3.6819683125284115,2.2760877263728077,3.6819683125284115
SE1,W2,2,127.7764774892083,0.2808567694102777,0.22028738542128226,-3.401111543118134,2.5569444957830854,-0.2808567694102777
SE1,W3,3,127.36019021825794,-0.4162872709503631,-0.32579335346407695,-3.817398814068497,2.1406572248327222,0.4162872709503631
SE1,W4,5,127.76197892181901,0.401788703561067,0.3154743274743224,-3.41561011050743,2.5424459283937892,-0.401788703561067
SE1,W5,6,127.70556349667548,-0.05641542514352693,-0.044156661958131574,-3.472025535650957,2.4860305032502623,0.05641542514352693
SE1,W6,7,127.1210609086413,-0.5845025880341836,-0.457695477025478,-4.0565281236851405,1.9015279152160787,0.5845025880341836
SE1,W7,8,126.37836151572553,-0.7426993929157675,-0.5842457477990424,-4.799227516600908,1.1588285223003112,0.7426993929157675
SE1,W8,9,126.00623702495376,-0.37212449077176757,-0.29445269451880285,-5.1713520073726755,0.7867040315285436,0.37212449077176757
SE1,W9,10,125.81936359317395,-0.18687343177981575,-0.1483049063220641,-5.358225439152491,0.5998305997487279,0.18687343177981575
SE1,W10,11,125.80376859760797,-0.015594995565976433,-0.012394749997624773,-5.373820434718468,0.5842356041827514,0.015594995565976433
SE1,W11,12,126.24391811589884,0.4401495182908661,0.3498698991273582,-4.933670916427602,1.0243851224736176,-0.4401495182908661
SE1,W12,13,126.41094640640287,0.16702829050403523,0.13230600966511044,-4.766642625923566,1.1914134129776528,-0.16702829050403523
SE2,W0,0,215.09546089115275,,,0.0,8.573973664509793,
SE2,W1,1,210.14628929589688,-4.949171595255876,-2.3009186594413364,-4.949171595255876,3.624802069253917,4.949171595255876
SE2,W2,2,210.05608740031306,-0.0902018955838173,-0.04292338250941388,-5.039373490839694,3.5346001736701,0.0902018955838173
SE2,W3,3,209.90424655227574,-0.1518408480373239,-0.07228585941808682,-5.1912143388770176,3.382759325632776,0.1518408480373239
SE2,W4,5,208.3962396598953,-1.5080068923804504,-0.7184261000669597,-6.699221231257468,1.8747524332523255,1.5080068923804504
SE2,W5,6,208.4562847227686,0.06004506287331424,0.028812930104357145,-6.639176168384154,1.9347974961256398,-0.06004506287331424
SE2,W6,7,208.81935039539212,0.3630656726235202,0.17416873427748683,-6.2761104957606335,2.29786316874916,-0.3630656726235202
SE2,W7,8,207.9148721709215,-0.9044782244706084,-0.4331390854142639,-7.180588720231242,1.3933849442785515,0.9044782244706084
SE2,W8,9,207.897346858487,-0.017525312434514717,-0.008429080734593919,-7.198114032665757,1.3758596318440368,0.017525312434514717
SE2,W9,10,206.8510041260304,-1.0463427324565941,-0.5032977804997318,-8.24445676512235,0.32951689938744266,1.0463427324565941
SE2,W10,11,206.71173355774408,-0.1392705682863209,-0.06732893024849228,-8.383727333408672,0.19024633110112177,0.1392705682863209
SE2,W11,12,206.48317294861022,-0.228560609133865,-0.11056973167419039,-8.612287942542537,-0.03831427803274323,0.228560609133865
SE2,W12,13,206.1794292040645,-0.30374374454572717,-0.14710338872084425,-8.916031687088264,-0.3420580225784704,0.30374374454572717
