coverage_flag_distribution,day,day_type,duplicate_local_timestamp_count,duplicate_utc_timestamp_count,expected_local_day_hour_count,hourly_row_count,input_row_count_distribution,max_actual_mw,mean_actual_mw,min_actual_mw,missing_expected_utc_hour_count,missing_expected_utc_hours,native_resolution_mix_distribution,p95_actual_mw,unique_utc_timestamp_count
"ok:23,partial_hour:1",2025-12-12,local_date,0,0,24,24,"3:1,4:23",3179.0,2852.2395833333335,2511.75,0,,15:24,3075.775,24
"ok:23,partial_hour:1",2025-12-24,local_date,0,0,24,24,"3:1,4:23",1996.0,1572.1180555555554,858.5,0,,15:24,1908.8874999999998,24
ok:24,2025-12-27,local_date,0,0,24,24,4:24,4241.0,2630.2395833333335,1258.0,0,,15:24,4012.2874999999995,24
ok:24,2026-02-08,local_date,0,0,24,24,4:24,3700.75,2673.0625,1726.0,0,,15:24,3447.5249999999996,24
ok:24,2026-03-21,local_date,0,0,24,24,4:24,2028.5,1681.2916666666667,1239.75,0,,15:24,2002.8874999999998,24
"ok:23,partial_hour:1",2026-03-25,local_date,0,0,24,24,"3:1,4:23",2359.75,1827.78125,1231.75,0,,15:24,2238.3125,24
ok:24,2026-03-26,local_date,0,0,24,24,4:24,2816.0,2224.0833333333335,1725.5,0,,15:24,2755.6875,24
"ok:23,partial_hour:1",2026-03-27,local_date,0,0,24,24,"3:1,4:23",2314.5,1829.590277777778,1317.75,0,,15:24,2247.6749999999997,24
"ok:22,partial_hour:2",2026-03-28,local_date,0,0,24,24,"3:2,4:22",7279.0,5487.60763888889,1494.0,0,,15:24,7147.450000000001,24
ok:23,2026-03-29,local_date,0,0,23,23,4:23,2414.0,1803.141304347826,1281.25,0,,15:23,2266.45,23
"ok:22,partial_hour:2",2026-03-30,local_date,0,0,24,24,"3:2,4:22",2323.6666666666665,1929.916666666667,1542.75,0,,15:24,2239.575,24
"ok:23,partial_hour:1",2026-03-31,local_date,0,0,24,24,"3:1,4:23",2248.75,1984.621527777778,1641.75,0,,15:24,2178.975,24
ok:24,2026-04-04,local_date,0,0,24,24,4:24,2117.5,1613.0520833333333,1152.25,0,,15:24,1986.2875,24
ok:1,2025-12-11,utc_date,0,0,,1,4:1,2511.75,2511.75,2511.75,0,,15:1,2511.75,1
"ok:22,partial_hour:1",2025-12-12,utc_date,0,0,,23,"3:1,4:22",3179.0,2867.0434782608695,2621.5,0,,15:23,3077.1,23
ok:1,2025-12-23,utc_date,0,0,,1,4:1,953.0,953.0,953.0,0,,15:1,953.0,1
"ok:22,partial_hour:1",2025-12-24,utc_date,0,0,,23,"3:1,4:22",1996.0,1599.0362318840578,858.5,0,,15:23,1910.425,23
ok:1,2025-12-26,utc_date,0,0,,1,4:1,1508.5,1508.5,1508.5,0,,15:1,1508.5,1
ok:23,2025-12-27,utc_date,0,0,,23,4:23,4241.0,2679.0108695652175,1258.0,0,,15:23,4019.2749999999996,23
ok:1,2026-02-07,utc_date,0,0,,1,4:1,2123.5,2123.5,2123.5,0,,15:1,2123.5,1
ok:23,2026-02-08,utc_date,0,0,,23,4:23,3700.75,2696.9565217391305,1726.0,0,,15:23,3455.8499999999995,23
ok:1,2026-03-20,utc_date,0,0,,1,4:1,1411.5,1411.5,1411.5,0,,15:1,1411.5,1
ok:23,2026-03-21,utc_date,0,0,,23,4:23,2028.5,1693.0217391304348,1239.75,0,,15:23,2004.4249999999997,23
partial_hour:1,2026-03-24,utc_date,0,0,,1,3:1,1462.0,1462.0,1462.0,0,,15:1,1462.0,1
ok:24,2026-03-25,utc_date,0,0,,24,4:24,2398.0,1866.78125,1231.75,0,,15:24,2342.3499999999995,24
ok:24,2026-03-26,utc_date,0,0,,24,4:24,2816.0,2206.2604166666665,1725.5,0,,15:24,2755.6875,24
"ok:22,partial_hour:2",2026-03-27,utc_date,0,0,,24,"3:2,4:22",2314.5,1835.3020833333337,1317.75,0,,15:24,2247.6749999999997,24
"ok:23,partial_hour:1",2026-03-28,utc_date,0,0,,24,"3:1,4:23",7279.0,5479.072916666667,1494.0,0,,15:24,7147.450000000001,24
ok:24,2026-03-29,utc_date,0,0,,24,4:24,2414.0,1787.4375,1281.25,0,,15:24,2265.55,24
"ok:22,partial_hour:2",2026-03-30,utc_date,0,0,,24,"3:2,4:22",2323.6666666666665,1955.1145833333337,1542.75,0,,15:24,2239.575,24
"ok:21,partial_hour:1",2026-03-31,utc_date,0,0,,22,"3:1,4:21",2248.75,1986.2462121212122,1641.75,0,,15:22,2182.825,22
ok:2,2026-04-03,utc_date,0,0,,2,4:2,1537.5,1529.375,1521.25,0,,15:2,1536.6875,2
ok:22,2026-04-04,utc_date,0,0,,22,4:22,2117.5,1620.659090909091,1152.25,0,,15:22,1991.2625,22
